Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
21MAY2016,21MAY2016,19633.90662,1411.318424,16867.773338,22400.039902,961.09337977
22MAY2016,22MAY2016,19627.264634,1411.318424,16861.131352,22393.397916,968.73536584
23MAY2016,23MAY2016,19610.177133,1411.318424,16844.043852,22376.310415,986.82286664
24MAY2016,24MAY2016,19610.315151,1411.318424,16844.18187,22376.448433,987.68484872
25MAY2016,25MAY2016,19627.514968,1411.318424,16861.381686,22393.648249,971.48503235
26MAY2016,26MAY2016,19636.233431,1411.318424,16870.100149,22402.366712,963.76656932
27MAY2016,27MAY2016,19625.613447,1411.318424,16859.480165,22391.746729,975.38655288
28MAY2016,28MAY2016,19614.428228,1411.318424,16848.294946,22380.56151,987.57177209
29MAY2016,29MAY2016,19620.753659,1411.318424,16854.620377,22386.886941,982.24634089
30MAY2016,30MAY2016,19635.185463,1411.318424,16869.052182,22401.318745,968.81453672
31MAY2016,31MAY2016,19637.050124,1411.318424,16870.916842,22403.183405,967.94987642
01JUN2016,01JUN2016,19626.004802,1411.318424,16859.871521,22392.138084,979.99519774
02JUN2016,02JUN2016,19620.909834,1411.318424,16854.776552,22387.043115,986.09016635
03JUN2016,03JUN2016,19630.279963,1411.318424,16864.146682,22396.413245,977.72003671
04JUN2016,04JUN2016,19640.44592,1411.318424,16874.312638,22406.579202,968.55408005
05JUN2016,05JUN2016,19637.642167,1411.318424,16871.508885,22403.775448,972.35783334
06JUN2016,06JUN2016,19628.495605,1411.318424,16862.362323,22394.628887,982.50439516
07JUN2016,07JUN2016,19628.533589,1411.318424,16862.400307,22394.666871,983.46641082
08JUN2016,08JUN2016,19638.372816,1411.318424,16872.239534,22404.506097,974.6271845
09JUN2016,09JUN2016,19644.012255,1411.318424,16877.878973,22410.145536,969.98774533
10JUN2016,10JUN2016,19638.829026,1411.318424,16872.695744,22404.962307,976.17097448
11JUN2016,11JUN2016,19632.814947,1411.318424,16866.681665,22398.948228,983.18505336
12JUN2016,12JUN2016,19636.386672,1411.318424,16870.25339,22402.519954,980.61332821
13JUN2016,13JUN2016,19644.88134,1411.318424,16878.748058,22411.014621,973.1186604
14JUN2016,14JUN2016,19646.695923,1411.318424,16880.562641,22412.829205,972.30407705
15JUN2016,15JUN2016,19641.084292,1411.318424,16874.951011,22407.217574,978.9157076
16JUN2016,16JUN2016,19638.399945,1411.318424,16872.266663,22404.533227,982.60005488
17JUN2016,17JUN2016,19643.81528,1411.318424,16877.681998,22409.948561,978.18472027
18JUN2016,18JUN2016,19650.04443,1411.318424,16883.911148,22416.177712,972.95556995
19JUN2016,19JUN2016,19649.177833,1411.318424,16883.044552,22415.311115,974.82216663
20JUN2016,20JUN2016,19644.492396,1411.318424,16878.359114,22410.625678,980.50760381
